platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source
xiaohongshu,C盘只剩15G，我用Codex做了个安全清理Skill,https://www.xiaohongshu.com/explore/6a16431700000000080023d1,https://sns-webpic-qc.xhscdn.com/202606151857/c6217c122e614ad44caad37f507aa0cc/notes_pre_post/1040g3k0320ldjhgo5s005o8g0o2o5g49glqrp2g!nc_n_webp_mw_1,CrrrisTang,2026-05-27,61,,,,61.0,3.21,失败复盘,,Codex,,,,弱,,,dev_productivity,开发提效/编程技巧,,Codex,,,0.7,C盘只剩15G，我用Codex做了个安全清理Skill CrrrisTang 05-27 61,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,我用 Codex 给自己搭了一个小红书工作流,https://www.xiaohongshu.com/explore/6a2f86e8000000001c0243e5,https://sns-webpic-qc.xhscdn.com/202606151857/f5b053aa0e896b1340e7053909ef87a8/spectrum/1040g0k0321e3c25o6s0041g2op2qkg3husfgmko!nc_n_webp_mw_1,猪猪AI（50岁退休版）,2026-06-15,78,,,,78.0,78.0,真案例,自动化流程、运营工具,Codex,运营/营销,几小时上线、效率提升,可复刻,强,,,dev_productivity,开发提效/编程技巧,AI Agent/工作流,Codex,工作提效、快速原型,运营/营销,0.7,我用 Codex 给自己搭了一个小红书工作流 猪猪AI（50岁退休版） 2小时前 78,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,vibecoding大赏｜用codex做了个人作品集网站,https://www.xiaohongshu.com/explore/6a2eb481000000003502cbf2,https://sns-webpic-qc.xhscdn.com/202606151857/061616903f1349b278117df6e654ee51/1040g2sg321d9gkidno705pg0721ipt32csre7ig!nc_n_webp_mw_1,Liufff,2026-06-14,139,,,,139.0,139.0,真案例,网站、创意实验/好玩项目,Codex,,平台大赛,有结果,强,,平台活动内容,dev_productivity,开发提效/编程技巧,网站,Codex,,,0.7,vibecoding大赏｜用codex做了个人作品集网站 Liufff 昨天 22:02 139,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,1小时速成用Codex AI手搓个人作品网站,https://www.xiaohongshu.com/explore/6a130da600000000060350c5,https://sns-webpic-qc.xhscdn.com/202606151858/a8912837531a327d0caafacd9b19140d/spectrum/1040g34o320i85qj15c2g5n3iaa5ke3a1pom6bjo!nc_n_webp_mw_1,喔超人不会飞,2026-05-25,489,,,,489.0,23.29,真案例,创意实验/好玩项目、网站,Codex,,几小时上线,有结果,强,,,dev_productivity,开发提效/编程技巧,网站,Codex,,,0.7,1小时速成用Codex AI手搓个人作品网站 喔超人不会飞 05-25 489,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,Codex控制blender自动化建模,https://www.xiaohongshu.com/explore/6a21958c0000000022020570,https://sns-webpic-qc.xhscdn.com/202606151858/f1f497399ef48c6c0c59cec677c03f0e/spectrum/1040g0k03210fnisvmu0g5o68rotg8r5k2dnqcq0!nc_n_webp_mw_1,白无常C4D,2026-06-04,670,,,,670.0,60.91,真案例,3D建模/渲染、自动化流程、设计系统/视觉、创意实验/好玩项目,Blender、Codex,设计/创作者,效率提升,有结果,强,,,creative_game_visual,创意可视化/小游戏,3D建模/渲染、AI Agent/工作流,Blender、Codex,工作提效、表达创意,设计/创作者,0.7,Codex控制blender自动化建模 白无常C4D 06-04 670,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,理科生2h手搓个人网站｜vibe coding！,https://www.xiaohongshu.com/explore/6a11b2f1000000003502e9dc,https://sns-webpic-qc.xhscdn.com/202606151858/c97b468daaa1671de7680aeb934e7723/1040g008320hlihsclc005o6j2a2080cs7lc9pv0!nc_n_webp_mw_1,王十三AI,2026-05-24,2128,,,,2128.0,96.73,真案例,网站,,,,有结果,强,,,product_build,做产品/工具,网站,,,,0.95,理科生2h手搓个人网站｜vibe coding！ 王十三AI 05-24 2128,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,Codex重度用户的Apple Watch 长这样,https://www.xiaohongshu.com/explore/6a2bbab000000000060345a5,https://sns-webpic-qc.xhscdn.com/202606151858/16a83772ae080bbf13a46884ff114558/notes_pre_post/1040g3k0321abb3407o305nvj3ptg9feri9055i8!nc_n_webp_prv_1,从野秦,2026-06-12,759,,,,759.0,253.0,真案例,App/软件,Codex,,,有结果,强,用户,,dev_productivity,开发提效/编程技巧,App/软件,Codex,,,0.7,Codex重度用户的Apple Watch 长这样 从野秦 3天前 759,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,超高效ai工作流｜Codex可操控SU自动建模啦,https://www.xiaohongshu.com/explore/6a281642000000003501c7f0,https://sns-webpic-qc.xhscdn.com/202606151858/3f7707458a5614c0eb5e28ac5096ebd4/notes_pre_post/1040g3k03216qg0vfmua05n5nunc4mkq2q2vvi98!nc_n_webp_mw_1,Boss tan,2026-06-10,129,,,,129.0,25.8,教程,3D建模/渲染、自动化流程、设计系统/视觉,Codex,设计/创作者,几小时上线、效率提升,可复刻,中,,,creative_game_visual,创意可视化/小游戏,3D建模/渲染、AI Agent/工作流,Codex,工作提效、表达创意,设计/创作者,0.62,超高效ai工作流｜Codex可操控SU自动建模啦 Boss tan 5天前 129,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,Codex 的 10个工作流,https://www.xiaohongshu.com/explore/6a18ff3c00000000360337f3,https://sns-webpic-qc.xhscdn.com/202606151858/b4e077ce0d874c3460d2daf66cfdf020/spectrum/1040g34o320o3cgm76q005ogma6f40mpqjmqtrdg!nc_n_webp_mw_1,煤球,2026-05-29,8,,,,8.0,0.47,教程,自动化流程,Codex,,效率提升,可复刻,中,,,dev_productivity,开发提效/编程技巧,AI Agent/工作流,Codex,工作提效,,0.7,Codex 的 10个工作流 煤球 05-29 8,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,半个多月，我用Codex开发了一款小游戏。,https://www.xiaohongshu.com/explore/6a2adf9e000000001702eb98,https://sns-webpic-qc.xhscdn.com/202606151859/349ac48dc30f8557a85c8c38aed4263a/notes_pre_post/1040g3k03219i0lh1nu005q1sftb7ns4361jb3eo!nc_n_webp_mw_1,数据呼吸Lex,2026-06-12,65,,,,65.0,21.67,真案例,游戏/互动,Codex,,,有结果,强,,,creative_game_visual,创意可视化/小游戏,小游戏/互动,Codex,表达创意,,0.78,半个多月，我用Codex开发了一款小游戏。 数据呼吸Lex 3天前 65,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
