platform,title,url,author,description,published_at,likes,comments,collects,shares
douyin,人人都能vibecoding的时代？ #Vibecoding大赏 #AI新星计划,https://www.douyin.com/video/7650029992185541450,嘿腿子腿子（AI版）,03:00 4925 人人都能vibecoding的时代？ #Vibecoding大赏 #AI新星计划 @嘿腿子腿子（AI版） 4天前,2026-06-11,4925,,,
douyin,你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐,https://www.douyin.com/video/7646356967723683112,永垂不朽的高,06:00 54 你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐 @永垂不朽的高 1周前,2026-06-08,54,,,
douyin,早上睡醒就进入新流，一整天就就休息的时候吃了顿面。 #青年创作者成长计划 #vibecoding大赏 #Ai新星计划 #vibecodingjiaoxue #教程,https://www.douyin.com/video/7650916626107206955,北墓,05:45 813 早上睡醒就进入新流，一整天就就休息的时候吃了顿面。 #青年创作者成长计划 #vibecoding大赏 #Ai新星计划 #vibecodingjiaoxue #教程 @北墓 1天前,2026-06-14,813,,,
douyin,废掉一个人最好的方式 就是让他不停vibe coding #vibe #vibecoding #ai #ai工具 #碎碎念博主,https://www.douyin.com/video/7647768029397686848,柚滋滋AI版,01:05 435 废掉一个人最好的方式 就是让他不停vibe coding #vibe #vibecoding #ai #ai工具 #碎碎念博主 @柚滋滋AI版 1周前,2026-06-08,435,,,
douyin,【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏,https://www.douyin.com/video/7650726740561652352,callmeifyougetlost,04:38 6963 【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏 @callmeifyougetlost 2天前,2026-06-13,6963,,,
douyin,"90% 的人都用错了 vibe coding 你以为的 vibe coding,根本不是 vibe coding！#vibecoding #ai #ai新星计划 #青年创作者扶持计划",https://www.douyin.com/video/7651440540898135342,林克AI实战录,"合集 04:07 80 90% 的人都用错了 vibe coding 你以为的 vibe coding,根本不是 vibe coding！#vibecoding #ai #ai新星计划 #青年创作者扶持计划 @林克AI实战录 6小时前",2026-06-15,80,,,
douyin,还有很多人没有意识到vibe coding已经不是小众AI了#vibecoding大赏 #vibecoding #ai新星计划 #AIgc #认知,https://www.douyin.com/video/7650383367812222243,Ai破壁人小彭,00:41 138 还有很多人没有意识到vibe coding已经不是小众AI了#vibecoding大赏 #vibecoding #ai新星计划 #AIgc #认知 @Ai破壁人小彭 2天前,2026-06-13,138,,,
douyin,Vibe Coding 纯小白入门教程，做出你的第一个作品！#Vibecoding #claudecode #deepseek #非哥黑科技 #非哥工具箱,https://www.douyin.com/video/7642952947210481062,非哥黑科技,04:36 1589 Vibe Coding 纯小白入门教程，做出你的第一个作品！#Vibecoding #claudecode #deepseek #非哥黑科技 #非哥工具箱 @非哥黑科技 3周前,2026-05-25,1589,,,
douyin,「VibeCoding大赏」VibeCoding就该这么做！ #vibecoding大赏 #ai新星计划 #vibecoding @抖音科技,https://www.douyin.com/video/7649376081492888872,隔壁的程序员老王,13:16 4802 「VibeCoding大赏」VibeCoding就该这么做！ #vibecoding大赏 #ai新星计划 #vibecoding @抖音科技 @隔壁的程序员老王 5天前,2026-06-10,4802,,,
douyin,边送外卖边vibe coding是种什么体验 #vibecoding #外卖小哥 #实习 #就业 #vibecoding大赏,https://www.douyin.com/video/7647846191203355930,挑眉哥,03:14 6775 边送外卖边vibe coding是种什么体验 #vibecoding #外卖小哥 #实习 #就业 #vibecoding大赏 @挑眉哥 1周前,2026-06-08,6775,,,
douyin,我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏,https://www.douyin.com/video/7646624256365397606,叫我LetterGen啦,06:42 3863 我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏 @叫我LetterGen啦 1周前,2026-06-08,3863,,,
douyin,不用写一行代码！2026最火的Vibe Coding，小白也 2026最火的开发方式——Vibe Coding（氛围编程），不用写一行代码、不懂技术，也能做产品。四步就能落地：说需求、AI生成、挑毛病、AI修改，搭配3类工具，普通人也能一人+AI，搞定以前7人团队的活，轻松实现一人公司。 附3条避坑铁律，非技术党也能快速上手，从零做出自己的小产品。 #VibeCoding #氛围编程 #零代码开发 #AI编程#真实生活分享计划 @DOU+小助手,https://www.douyin.com/video/7641921042349081770,AI时代思考分享,02:49 471 不用写一行代码！2026最火的Vibe Coding，小白也 2026最火的开发方式——Vibe Coding（氛围编程），不用写一行代码、不懂技术，也能做产品。四步就能落地：说需求、AI生成、挑毛病、AI修改，搭配3类工具，普通人也能一人+AI，搞定以前7人团队的活，轻松实现一人公司。 附3条避坑铁律，非技术党也能快速上手，从零做出自己的小产品。 #VibeCoding #氛围编程 #零代码开发 #AI编程#真实生活分享计划 @DOU+小助手 @AI时代思考分享 3周前,2026-05-25,471,,,
douyin,边跑外卖边vibe coding 教程 #热点 #vibecoding #就业 #ai #外卖 #vibecoding大赏,https://www.douyin.com/video/7649722290413800710,挑眉哥,00:59 335 边跑外卖边vibe coding 教程 #热点 #vibecoding #就业 #ai #外卖 #vibecoding大赏 @挑眉哥 4天前,2026-06-11,335,,,
douyin,从夯到拉锐评 “vibe coding产品创意” 啊！ #排名 #从夯到拉 #ai #vibecoding #程序员,https://www.douyin.com/video/7645917007707180340,吴所知,合集 02:01 556 从夯到拉锐评 “vibe coding产品创意” 啊！ #排名 #从夯到拉 #ai #vibecoding #程序员 @吴所知 1周前,2026-06-08,556,,,
