platform,title,url,author,description,published_at,likes,comments,shares
douyin,早上睡醒就进入新流，一整天就就休息的时候吃了顿面。 #青年创作者成长计划 #vibecoding大赏 #Ai新星计划 #vibecodingjiaoxue #教程,https://www.douyin.com/video/7650916626107206955,北墓,05:45 777 早上睡醒就进入新流，一整天就就休息的时候吃了顿面。 #青年创作者成长计划 #vibecoding大赏 #Ai新星计划 #vibecodingjiaoxue #教程 @北墓 1天前,2026-06-14,777,,
douyin,【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏,https://www.douyin.com/video/7650726740561652352,callmeifyougetlost,04:38 6725 【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏 @callmeifyougetlost 2天前,2026-06-13,6725,,
douyin,废掉一个人最好的方式 就是让他不停vibe coding #vibe #vibecoding #ai #ai工具 #碎碎念博主,https://www.douyin.com/video/7647768029397686848,柚滋滋AI版,01:05 433 废掉一个人最好的方式 就是让他不停vibe coding #vibe #vibecoding #ai #ai工具 #碎碎念博主 @柚滋滋AI版 1周前,2026-06-08,433,,
douyin,边跑外卖边vibe coding 教程 #热点 #vibecoding #就业 #ai #外卖 #vibecoding大赏,https://www.douyin.com/video/7649722290413800710,挑眉哥,00:59 333 边跑外卖边vibe coding 教程 #热点 #vibecoding #就业 #ai #外卖 #vibecoding大赏 @挑眉哥 4天前,2026-06-11,333,,
douyin,人人都能vibecoding的时代？ #Vibecoding大赏 #AI新星计划,https://www.douyin.com/video/7650029992185541450,嘿腿子腿子（AI版）,03:00 4909 人人都能vibecoding的时代？ #Vibecoding大赏 #AI新星计划 @嘿腿子腿子（AI版） 3天前,2026-06-12,4909,,
douyin,还有很多人没有意识到vibe coding已经不是小众AI了#vibecoding大赏 #vibecoding #ai新星计划 #AIgc #认知,https://www.douyin.com/video/7650383367812222243,Ai破壁人小彭,00:41 138 还有很多人没有意识到vibe coding已经不是小众AI了#vibecoding大赏 #vibecoding #ai新星计划 #AIgc #认知 @Ai破壁人小彭 2天前,2026-06-13,138,,
douyin,「VibeCoding大赏」VibeCoding就该这么做！ #vibecoding大赏 #ai新星计划 #vibecoding @抖音科技,https://www.douyin.com/video/7649376081492888872,隔壁的程序员老王,13:16 4794 「VibeCoding大赏」VibeCoding就该这么做！ #vibecoding大赏 #ai新星计划 #vibecoding @抖音科技 @隔壁的程序员老王 5天前,2026-06-10,4794,,
douyin,从夯到拉锐评 “vibe coding产品创意” 啊！ #排名 #从夯到拉 #ai #vibecoding #程序员,https://www.douyin.com/video/7645917007707180340,吴所知,合集 02:01 556 从夯到拉锐评 “vibe coding产品创意” 啊！ #排名 #从夯到拉 #ai #vibecoding #程序员 @吴所知 1周前,2026-06-08,556,,
douyin,儿时理想中的课本成真了 #vibecoding #vibecoding大赏,https://www.douyin.com/video/7649745155822715795,哈维yao,01:35 357 儿时理想中的课本成真了 #vibecoding #vibecoding大赏 @哈维yao 4天前,2026-06-11,357,,
douyin,你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐,https://www.douyin.com/video/7646356967723683112,永垂不朽的高,06:00 53 你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐 @永垂不朽的高 1周前,2026-06-08,53,,
douyin,边送外卖边vibe coding是种什么体验 #vibecoding #外卖小哥 #实习 #就业 #vibecoding大赏,https://www.douyin.com/video/7647846191203355930,挑眉哥,03:14 6759 边送外卖边vibe coding是种什么体验 #vibecoding #外卖小哥 #实习 #就业 #vibecoding大赏 @挑眉哥 1周前,2026-06-08,6759,,
douyin,Vibe Coding最大的误会是Coding#codex #agent #ai智能体 #vibecoding #脑科学,https://www.douyin.com/video/7648126687263132934,奶牛Denny的播客,01:33 1.7万 Vibe Coding最大的误会是Coding#codex #agent #ai智能体 #vibecoding #脑科学 @奶牛Denny的播客 1周前,2026-06-08,1.7万,,
douyin,为什么你的 Vibe Coding 做不出高级感？ 为什么同样是AI 开发，别人做的页面看起来就很高级，而你的总是差一点感觉？ 其实不是你代码不行，而是你少做了一件事：设计系统搭建。 #Vibecoding #Vibecoding大赏 #真实生活分享计划 #AI新星计划 #AI新手村 @抖音科技,https://www.douyin.com/video/7649339285061606378,派大鑫,03:16 1.5万 为什么你的 Vibe Coding 做不出高级感？ 为什么同样是AI 开发，别人做的页面看起来就很高级，而你的总是差一点感觉？ 其实不是你代码不行，而是你少做了一件事：设计系统搭建。 #Vibecoding #Vibecoding大赏 #真实生活分享计划 #AI新星计划 #AI新手村 @抖音科技 @派大鑫 5天前,2026-06-10,1.5万,,
douyin,必坑指南！普通人搞vibe coding，到底要踩多少坑？ #ai #人工智能 #科技#胡彦斌app#vibecoding,https://www.douyin.com/video/7650417863769001267,AI琴报局分局,01:53 21 必坑指南！普通人搞vibe coding，到底要踩多少坑？ #ai #人工智能 #科技#胡彦斌app#vibecoding @AI琴报局分局 2天前,2026-06-13,21,,
douyin,Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战,https://www.douyin.com/video/7649425941694261312,可燃AI,01:23 74 Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战 @可燃AI 5天前,2026-06-10,74,,
